,Area,Type,Price,Apartment Name
236,"Boisar, Palghar","1, 2 BHK Apartments",13 L - 19.75 L,Mirchandani Shalimar Swayam
237,"Boisar, Palghar","1, 2 BHK Apartments",13.72 L - 26.04 L,Pooja Pride
238,"Boisar, Palghar","1, 2 BHK Apartments",10.57 L - 13.48 L,Raj Shree Nirman Gokuldham Zone 2
239,"Boisar, Palghar","1, 2 BHK Apartments",13.65 L - 23.4 L,Pooja Paradise
240,"Boisar, Palghar",1 BHK Apartment,13.48 L - 20.95 L,Happy Glizmore Adore Homes
241,"Boisar, Palghar","1, 2 BHK Apartments",11.19 L - 17.99 L,Intelligent Darshan Swapnalok Phase 1
242,"Boisar, Palghar","1 RK, 1, 2 BHK Apartments",9.0 L - 13.91 L,Guru Krupa Anand Park Mamta Heights
243,"Boisar, Palghar","1 RK, 1, 3 BHK Apartments",Price on Request,Thakur Galaxy
244,"Boisar, Palghar","1 RK, 1 BHK Apartments",14.95 L - 22.52 L,Mahindra Happinest Boisar Phase IV
245,"Boisar, Palghar",1 BHK Apartment,12.16 L - 16 L,Vatsalya Dreams City
246,"Boisar, Palghar","1, 2 BHK Apartments",13.7 L - 20.54 L,Paradise Sunrise Apartment
247,Boisar,"1, 1.5, 2.5 BHK Apartments",15.84 L - 31.2 L,Usha Chhaya Niwas Apartments
248,"Boisar, Palghar",1 BHK Apartment,Price on Request,Yash Apartment
249,"Boisar, Palghar","1, 2 BHK Apartments",20.76 L - 29.76 L,Gokul Heights
250,"Boisar, Palghar","1, 2 BHK Apartments",11.25 L - 20.78 L,Rajshree Residency
251,"Boisar, Palghar","1, 2 BHK Apartments",14.21 L - 21.36 L,Roop Park Phase 1
252,"Boisar, Palghar","1, 2 BHK Apartments",18.0 L - 28.69 L,United United Regency
253,"Boisar, Palghar","1, 2 BHK Apartments",Price on Request,Falcon Everglades II
254,"Boisar, Palghar","1 RK, 1, 2 BHK Apartments",Price on Request,Triveni Lotus
255,"Boisar, Palghar","1, 2 BHK Apartments",9.8 L - 14.3 L,Raj Shree Nirman Gokuldham Zone 01
256,"Boisar, Palghar",1 BHK Apartment,Price on Request,SRA 2
257,"Boisar, Palghar","1 RK, 1, 2 BHK Apartments",11.76 L - 22.4 L,Kritika Shaligram Township
258,"Boisar, Palghar","1 RK, 1, 2 BHK Apartments",10.85 L - 20.25 L,RR Zeal
259,"Boisar, Palghar",1 BHK Apartment,Price on Request,Imax Royal Garden Building No 2
260,"Boisar, Palghar",1 BHK Apartment,14.99 L,Rajesh Mahavir Utsav B
261,"Boisar, Palghar",1 BHK Apartment,14.56 L,Mahek Veer 3
262,"Boisar, Palghar",1 BHK Apartment,14.5 L,Nest Lotus Type C D E
263,"Boisar, Palghar","1, 2 BHK Apartments",15.4 L - 22.68 L,Ajay Raj Excellency
264,"Boisar, Palghar","1, 2 BHK Apartments",10.19 L - 14.93 L,Sai Raj Building No 1 Ideal Garden Type B1B Wing B
265,"Boisar, Palghar",1 BHK Apartment,Price on Request,THDC Icon B
266,"Boisar, Palghar",1 BHK Apartment,Price on Request,Rajesh Mahavir Kunj C Wing A
267,"Boisar, Palghar","1, 2 BHK Apartments",13.69 L - 18.29 L,RR Spring Field
268,Palghar,"2, 3, 4 BHK Apartments",31.58 L - 72.38 L,Navkar City
269,"Boisar, Palghar","1, 2 BHK Apartments",15.21 L - 20.67 L,Aryans Om Sai Apt
270,"Boisar, Palghar","1, 2 BHK Apartments",12.15 L - 18.23 L,Hirani Regency
271,"Boisar, Palghar",1 BHK Apartment,Price on Request,Diya Enclave
272,"Boisar, Palghar","1 RK, 1 BHK Apartments",10.23 L - 14.48 L,Kailash Shadawal Impression Building C1 C2
